Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
MercadoComercializacion,ANTIOQUIA,NO REGULADO,349886.48,349905.59,346123.47,343345.25,348379.97,354034.69,344095.67,354786.91,356801.13,355566.55,355206.46,355589.05,349906.02,341530.62,338631.12,336733.94,334811.35,317993.31,337670.89,324738.84,310200.22,294013.4,284725.85,281685.94,2024-10-12
MercadoComercializacion,ANTIOQUIA,REGULADO,707721.11,660481.2,637402.95,629450.09,654538.81,692805.27,774391.54,854832.77,937063.36,996926.01,1049534.49,1087749.0,1086415.08,1061230.16,1036434.33,1030555.61,1018159.74,1017339.24,1081872.32,1065654.79,1011911.91,941329.93,859420.89,781332.85,2024-10-12
MercadoComercializacion,ARAUCA,NO REGULADO,91036.91,91590.62,91659.21,91489.46,91490.58,91216.39,90950.01,90939.53,91639.58,92612.9,92746.03,92923.33,92826.08,92447.77,91830.2,92512.65,92528.85,92751.55,92631.76,93495.21,94211.71,94155.1,93672.21,93592.85,2024-10-12
MercadoComercializacion,ARAUCA,REGULADO,38565.24,35412.12,34168.77,32972.37,32446.6,30796.52,30920.05,33113.31,35897.53,38110.03,39774.74,41022.98,39814.52,40328.95,40554.05,40038.59,38780.21,39839.09,43575.74,43956.48,43686.89,40872.81,37321.19,35699.89,2024-10-12
MercadoComercializacion,BAJO PUTUMAYO,NO REGULADO,177.33,190.67,223.32,145.79,193.25,176.79,169.23,201.56,195.88,252.82,270.22,282.0,296.89,260.05,231.92,233.45,233.24,209.82,205.0,199.57,200.19,161.84,150.07,148.43,2024-10-12
MercadoComercializacion,BAJO PUTUMAYO,REGULADO,8838.64,8431.05,8309.48,7747.22,7801.15,7891.93,8807.03,9386.73,10777.84,11172.32,11799.45,12100.76,11975.96,11923.45,12216.85,12035.54,11731.4,12635.67,13728.27,13142.65,12216.08,10942.18,8740.73,7595.6,2024-10-12
MercadoComercializacion,BOGOTA - CUNDINAMARCA,NO REGULADO,574079.16,563940.07,548520.09,536687.55,525233.71,515141.5,528046.47,540738.44,543066.78,538266.7,547736.94,542930.98,537755.7,531485.62,517318.44,515661.34,519344.03,509079.39,491449.6,493775.52,486765.59,474084.76,465890.37,467915.86,2024-10-12
MercadoComercializacion,BOGOTA - CUNDINAMARCA,REGULADO,982939.54,919594.18,888154.22,889425.79,937211.35,975592.63,1100320.73,1264764.05,1403461.74,1491052.22,1547231.26,1556359.96,1537100.37,1480500.2,1432432.39,1390370.49,1374506.69,1391859.29,1525911.46,1497684.95,1423790.24,1296792.59,1162875.94,1028425.77,2024-10-12
MercadoComercializacion,BOYACA,NO REGULADO,328104.26,339755.62,317981.92,316251.51,330287.57,328218.36,306283.13,304347.44,288708.89,307651.23,308220.87,317741.71,312649.95,315460.54,210074.81,241977.41,269751.6,277516.85,295414.11,291338.12,293230.96,284132.08,278811.23,274159.36,2024-10-12
MercadoComercializacion,BOYACA,REGULADO,78032.43,71832.23,72099.32,71863.31,73459.26,81181.85,103415.22,119655.06,126308.68,129491.66,134022.71,132687.7,127961.47,121231.52,121631.16,119099.32,116708.29,121805.38,128302.29,127594.6,120362.37,109304.05,96612.3,84759.17,2024-10-12
